case,peace_budget,ag_budget,budget_ratio,climate,peace_strategy,ag_strategy,target_ag,feasible,strategy_type,violence_factor,grievance_factor,scarcity_factor,objective,ag_initial,ag_final,ag_reduction,ag_reduction_pct,gov_activity,econ_activity,trust_activity,ddr_activity,ag_recruitment,ag_violence
Severe,100,20,5.0,0.8,Balanced Multi-Pronged,Defensive,0.3,True,multi,0.8,0.54,1.0,22.7016,1.0,0.0,1.0,100.0,1.69,5.376,0.6104,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Aggressive,0.1,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Aggressive,0.2,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Aggressive,0.3,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Recruitment Focus,0.1,True,multi,0.8,0.54,1.0,22.7794,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Recruitment Focus,0.2,True,multi,0.8,0.54,1.0,22.7794,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Recruitment Focus,0.3,True,multi,0.8,0.54,1.0,22.7794,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Territorial,0.1,True,multi,0.8,0.54,1.0,22.779400000000003,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Territorial,0.2,True,multi,0.8,0.54,1.0,22.779400000000003,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Territorial,0.3,True,multi,0.8,0.54,1.0,22.779400000000003,1.0,0.0,1.0,100.0,1.2,6.19,0.1204,0.4896,0.1296,0.64
Severe,100,20,5.0,0.8,Integrated Approach,Defensive,0.1,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Defensive,0.2,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,20,5.0,0.8,Integrated Approach,Defensive,0.3,True,multi,0.8,0.54,1.0,22.5167,1.0,0.0,1.0,100.0,1.4268999999999998,6.2258000000000004,0.3473,0.0,0.1296,1.1296
Severe,100,50,2.0,0.2,Governance Only,Aggressive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Aggressive,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Aggressive,0.3,True,mono,0.8,0.54,1.0,27.6932,1.0,0.2188,0.7812,78.12,0.8642,0.224,0.156,0.0622,0.081,0.8
Severe,100,50,2.0,0.2,Governance Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Recruitment Focus,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Territorial,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Governance Only,Defensive,0.1,True,mono,0.8,0.54,1.0,26.622200000000003,1.0,0.0998,0.9002,90.02,0.9832,0.224,0.156,0.0622,0.081,0.919
Severe,100,50,2.0,0.2,Governance Only,Defensive,0.2,True,mono,0.8,0.54,1.0,26.622200000000003,1.0,0.0998,0.9002,90.02,0.9832,0.224,0.156,0.0622,0.081,0.919
Severe,100,50,2.0,0.2,Governance Only,Defensive,0.3,True,mono,0.8,0.54,1.0,26.622200000000003,1.0,0.0998,0.9002,90.02,0.9832,0.224,0.156,0.0622,0.081,0.919
Severe,100,50,2.0,0.2,Economic Only,Aggressive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Aggressive,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Aggressive,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Recruitment Focus,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Territorial,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Defensive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Defensive,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Economic Only,Defensive,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Aggressive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Aggressive,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
